edicao,pergunta_enunciado,dimensao,categoria,respondentes,total_validos,participacao_pct
2025-2026,R17,nivel_ensino,Não tenho graduação formal,61,3494,1.7459
2025-2026,R17,nivel_ensino,Pós-graduação,1404,3494,40.1832
2023-2024,R17,area_formacao,Química / Física,133,5180,2.5676
2023-2024,R17,area_formacao,Outra opção,287,5180,5.5405
2023-2024,R17,area_formacao,Economia/ Administração / Contabilidade / Finanças/ Negócios,814,5180,15.7143
2023-2024,R17,area_formacao,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,214,5180,4.1313
2023-2024,R17,area_formacao,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,124,5180,2.3938
2023-2024,R17,area_formacao,Computação / Engenharia de Software / Sistemas de Informação/ TI,2154,5180,41.583
2023-2024,R17,area_formacao,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,376,5180,7.2587
2023-2024,R17,area_formacao,Outras Engenharias (não incluir engenharia de software ou TI),1078,5180,20.8108
2024-2025,R17,area_formacao,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,477,5121,9.3146
2024-2025,R17,area_formacao,Computação / Engenharia de Software / Sistemas de Informação/ TI,2074,5121,40.4999
2024-2025,R17,area_formacao,Outras Engenharias (não incluir engenharia de software ou TI),1062,5121,20.7381
2024-2025,R17,area_formacao,Economia/ Administração / Contabilidade / Finanças/ Negócios,779,5121,15.2119
2024-2025,R17,area_formacao,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,181,5121,3.5345
2024-2025,R17,area_formacao,Química / Física,124,5121,2.4214
2024-2025,R17,area_formacao,Outra opção,288,5121,5.6239
2024-2025,R17,area_formacao,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,136,5121,2.6557
2025-2026,R17,area_formacao,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,238,3422,6.955
2025-2026,R17,area_formacao,Ciência de Dados / Inteligência Artificial,287,3422,8.3869
2025-2026,R17,area_formacao,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,84,3422,2.4547
2025-2026,R17,area_formacao,Outras Engenharias (não incluir engenharia de software ou TI),678,3422,19.813
2025-2026,R17,area_formacao,Economia/ Administração / Contabilidade / Finanças/ Negócios,474,3422,13.8515
2025-2026,R17,area_formacao,Química / Física,78,3422,2.2794
2025-2026,R17,area_formacao,Computação / Engenharia de Software / Sistemas de Informação/ TI,1280,3422,37.405
2025-2026,R17,area_formacao,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,126,3422,3.6821
2025-2026,R17,area_formacao,Outra opção,177,3422,5.1724
2023-2024,R17,faixa_idade,22-24,493,5293,9.3142
2023-2024,R17,faixa_idade,40-44,429,5293,8.105
2023-2024,R17,faixa_idade,17-21,178,5293,3.3629
2023-2024,R17,faixa_idade,55+,72,5293,1.3603
2023-2024,R17,faixa_idade,35-39,790,5293,14.9254
2023-2024,R17,faixa_idade,25-29,1654,5293,31.2488
2023-2024,R17,faixa_idade,30-34,1377,5293,26.0155
2023-2024,R17,faixa_idade,50-54,111,5293,2.0971
2023-2024,R17,faixa_idade,45-49,189,5293,3.5708
2024-2025,R17,faixa_idade,30-34,1503,5215,28.8207
2024-2025,R17,faixa_idade,35-39,831,5215,15.9348
2024-2025,R17,faixa_idade,50-54,97,5215,1.86
2024-2025,R17,faixa_idade,17-21,173,5215,3.3174
2024-2025,R17,faixa_idade,22-24,425,5215,8.1496
2024-2025,R17,faixa_idade,25-29,1466,5215,28.1112
2024-2025,R17,faixa_idade,40-44,448,5215,8.5906
2024-2025,R17,faixa_idade,45-49,214,5215,4.1035
2024-2025,R17,faixa_idade,55+,58,5215,1.1122
2025-2026,R17,faixa_idade,22-24,240,3494,6.8689
2025-2026,R17,faixa_idade,45-49,196,3494,5.6096
2025-2026,R17,faixa_idade,50-54,96,3494,2.7476
2025-2026,R17,faixa_idade,35-39,649,3494,18.5747
2025-2026,R17,faixa_idade,40-44,318,3494,9.1013
2025-2026,R17,faixa_idade,17-21,108,3494,3.091
2025-2026,R17,faixa_idade,55+,93,3494,2.6617
2025-2026,R17,faixa_idade,30-34,960,3494,27.4757
2025-2026,R17,faixa_idade,25-29,834,3494,23.8695
2023-2024,R18,cargo,Analista de Dados/Data Analyst,907,3857,23.5157
2023-2024,R18,cargo,Outras Engenharias (não inclui dev),31,3857,0.8037
2023-2024,R18,cargo,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,105,3857,2.7223
2023-2024,R18,cargo,Engenharia e Arquitetura de Dados,684,3857,17.734
2023-2024,R18,cargo,Analista de Suporte/Analista Técnico,72,3857,1.8667
2023-2024,R18,cargo,Analista de Inteligência de Mercado/Market Intelligence,39,3857,1.0111
2023-2024,R18,cargo,DBA/Administrador de Banco de Dados,20,3857,0.5185
2023-2024,R18,cargo,Estatístico,21,3857,0.5445
2023-2024,R18,cargo,Cientista de Dados/Data Scientist,687,3857,17.8118
2023-2024,R18,cargo,Engenheiro de Machine Learning/ML Engineer/AI Engineer,75,3857,1.9445
2023-2024,R18,cargo,Analytics Engineer,139,3857,3.6038
2023-2024,R18,cargo,Professor/Pesquisador,28,3857,0.726
2023-2024,R18,cargo,Outra Opção,262,3857,6.7928
2023-2024,R18,cargo,Analista de BI/BI Analyst,506,3857,13.119
2023-2024,R18,cargo,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),81,3857,2.1001
2023-2024,R18,cargo,Analista de Negócios/Business Analyst,195,3857,5.0557
2023-2024,R18,cargo,Economista,5,3857,0.1296
2024-2025,R18,cargo,Analista de Dados/Data Analyst,957,3816,25.0786
2024-2025,R18,cargo,Analista de BI/BI Analyst,396,3816,10.3774
2024-2025,R18,cargo,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,122,3816,3.1971
2024-2025,R18,cargo,Professor/Pesquisador,21,3816,0.5503
2024-2025,R18,cargo,Estatístico,17,3816,0.4455
2024-2025,R18,cargo,Cientista de Dados/Data Scientist,687,3816,18.0031
2024-2025,R18,cargo,Engenharia e Arquitetura de Dados,660,3816,17.2956
2024-2025,R18,cargo,Analista de Negócios/Business Analyst,184,3816,4.8218
2024-2025,R18,cargo,Engenheiro de Machine Learning/ML Engineer/AI Engineer,103,3816,2.6992
2024-2025,R18,cargo,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),80,3816,2.0964
2024-2025,R18,cargo,Analista de Suporte/Analista Técnico,78,3816,2.044
2024-2025,R18,cargo,Analytics Engineer,228,3816,5.9748
2024-2025,R18,cargo,Outra Opção,254,3816,6.6562
2024-2025,R18,cargo,Outras Engenharias (não inclui dev),29,3816,0.76
2025-2026,R18,cargo,Engenheiro de Machine Learning/ML Engineer/AI Engineer,106,2500,4.24
2025-2026,R18,cargo,Cientista de Dados/Data Scientist,423,2500,16.92
2025-2026,R18,cargo,Analista de Negócios/Business Analyst,141,2500,5.64
2025-2026,R18,cargo,Analista de BI/BI Analyst,215,2500,8.6
2025-2026,R18,cargo,Analytics Engineer,135,2500,5.4
2025-2026,R18,cargo,Outra Opção,206,2500,8.24
2025-2026,R18,cargo,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),33,2500,1.32
2025-2026,R18,cargo,Engenharia e Arquitetura de Dados,430,2500,17.2
2025-2026,R18,cargo,Analista de Suporte/Analista Técnico,55,2500,2.2
2025-2026,R18,cargo,Estatístico,9,2500,0.36
2025-2026,R18,cargo,Professor/Pesquisador,16,2500,0.64
2025-2026,R18,cargo,Analista de Dados/Data Analyst,599,2500,23.96
2025-2026,R18,cargo,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,106,2500,4.24
2025-2026,R18,cargo,Outras Engenharias (não inclui dev),26,2500,1.04
2023-2024,R18,nivel,Júnior,1046,3857,27.1195
2023-2024,R18,nivel,Sênior,1419,3857,36.7903
2023-2024,R18,nivel,Pleno,1392,3857,36.0902
2024-2025,R18,nivel,Sênior,1572,3816,41.195
2024-2025,R18,nivel,Júnior,868,3816,22.7463
2024-2025,R18,nivel,Pleno,1376,3816,36.0587
2025-2026,R18,nivel,Especialista/Staff+,349,2500,13.96
2025-2026,R18,nivel,Júnior,518,2500,20.72
2025-2026,R18,nivel,Pleno,775,2500,31.0
2025-2026,R18,nivel,Sênior,858,2500,34.32
2023-2024,R18,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,745,4753,15.6743
2023-2024,R18,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,128,4753,2.693
2023-2024,R18,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,86,4753,1.8094
2023-2024,R18,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,352,4753,7.4058
2023-2024,R18,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,328,4753,6.9009
2023-2024,R18,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,216,4753,4.5445
2023-2024,R18,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,288,4753,6.0593
2023-2024,R18,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,650,4753,13.6756
2023-2024,R18,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,1026,4753,21.5864
2023-2024,R18,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,637,4753,13.4021
2023-2024,R18,faixa_salarial,Menos de R$ 1.000/mês,30,4753,0.6312
2023-2024,R18,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,195,4753,4.1027
2023-2024,R18,faixa_salarial,Acima de R$ 40.001/mês,72,4753,1.5148
2024-2025,R18,faixa_salarial,Acima de R$ 40.001/mês,104,4861,2.1395
2024-2025,R18,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,270,4861,5.5544
2024-2025,R18,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,656,4861,13.4952
2024-2025,R18,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,456,4861,9.3808
2024-2025,R18,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,246,4861,5.0607
2024-2025,R18,faixa_salarial,Menos de R$ 1.000/mês,33,4861,0.6789
2024-2025,R18,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,155,4861,3.1886
2024-2025,R18,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,592,4861,12.1786
2024-2025,R18,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,1080,4861,22.2177
2024-2025,R18,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,237,4861,4.8755
2024-2025,R18,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,716,4861,14.7295
2024-2025,R18,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,159,4861,3.2709
2024-2025,R18,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,157,4861,3.2298
2025-2026,R18,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,130,3227,4.0285
2025-2026,R18,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,707,3227,21.9089
2025-2026,R18,faixa_salarial,Menos de R$ 1.000/mês,21,3227,0.6508
2025-2026,R18,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,114,3227,3.5327
2025-2026,R18,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,344,3227,10.6601
2025-2026,R18,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,213,3227,6.6006
2025-2026,R18,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,117,3227,3.6257
2025-2026,R18,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,135,3227,4.1835
2025-2026,R18,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,484,3227,14.9985
2025-2026,R18,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,323,3227,10.0093
2025-2026,R18,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,367,3227,11.3728
2025-2026,R18,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,157,3227,4.8652
2025-2026,R18,faixa_salarial,Acima de R$ 40.001/mês,115,3227,3.5637
2023-2024,R18,tempo_exp_dados_serie,Até 2 anos,1677,4753,35.283
2023-2024,R18,tempo_exp_dados_serie,Sem experiência,162,4753,3.4084
2023-2024,R18,tempo_exp_dados_serie,De 7 a 10 anos,429,4753,9.0259
2023-2024,R18,tempo_exp_dados_serie,Mais de 10 anos,557,4753,11.7189
2023-2024,R18,tempo_exp_dados_serie,De 3 a 6 anos,1928,4753,40.5639
2024-2025,R18,tempo_exp_dados_serie,De 3 a 6 anos,2215,4861,45.5668
2024-2025,R18,tempo_exp_dados_serie,Até 2 anos,1290,4861,26.5377
2024-2025,R18,tempo_exp_dados_serie,Mais de 10 anos,585,4861,12.0346
2024-2025,R18,tempo_exp_dados_serie,De 7 a 10 anos,541,4861,11.1294
2024-2025,R18,tempo_exp_dados_serie,Sem experiência,230,4861,4.7315
2025-2026,R18,tempo_exp_dados_serie,Mais de 10 anos,440,3227,13.635
2025-2026,R18,tempo_exp_dados_serie,Sem experiência,178,3227,5.516
2025-2026,R18,tempo_exp_dados_serie,De 3 a 6 anos,1463,3227,45.3362
2025-2026,R18,tempo_exp_dados_serie,Até 2 anos,729,3227,22.5906
2025-2026,R18,tempo_exp_dados_serie,De 7 a 10 anos,417,3227,12.9222
2023-2024,R19,genero,Prefiro não informar,16,5293,0.3023
2023-2024,R19,genero,Masculino,3975,5293,75.0992
2023-2024,R19,genero,Feminino,1293,5293,24.4285
2023-2024,R19,genero,Outro,9,5293,0.17
2024-2025,R19,genero,Outro,8,5215,0.1534
2024-2025,R19,genero,Prefiro não informar,15,5215,0.2876
2024-2025,R19,genero,Feminino,1225,5215,23.4899
2024-2025,R19,genero,Masculino,3967,5215,76.069
2025-2026,R19,genero,Feminino,767,3494,21.9519
2025-2026,R19,genero,Prefiro não informar,13,3494,0.3721
2025-2026,R19,genero,Outro,7,3494,0.2003
2025-2026,R19,genero,Masculino,2707,3494,77.4757
2023-2024,R19,atua_como_gestor,Nao,3857,4753,81.1487
2023-2024,R19,atua_como_gestor,Sim,896,4753,18.8513
2024-2025,R19,atua_como_gestor,Sim,1045,4861,21.4976
2024-2025,R19,atua_como_gestor,Nao,3816,4861,78.5024
2025-2026,R19,atua_como_gestor,Nao,2500,3227,77.4713
2025-2026,R19,atua_como_gestor,Sim,727,3227,22.5287
2023-2024,R20,linguagem_preferida,Scala,53,3750,1.4133
2023-2024,R20,linguagem_preferida,Go,3,3750,0.08
2023-2024,R20,linguagem_preferida,Clojure,1,3750,0.0267
2023-2024,R20,linguagem_preferida,Kotlin,1,3750,0.0267
2023-2024,R20,linguagem_preferida,R,228,3750,6.08
2023-2024,R20,linguagem_preferida,Rust,29,3750,0.7733
2023-2024,R20,linguagem_preferida,C/C++/C#,19,3750,0.5067
2023-2024,R20,linguagem_preferida,DAX/M,8,3750,0.2133
2023-2024,R20,linguagem_preferida,Javascript,1,3750,0.0267
2023-2024,R20,linguagem_preferida,Python,3299,3750,87.9733
2023-2024,R20,linguagem_preferida,Spark,3,3750,0.08
2023-2024,R20,linguagem_preferida,SAS,2,3750,0.0533
2023-2024,R20,linguagem_preferida,Julia,24,3750,0.64
2023-2024,R20,linguagem_preferida,SQL,74,3750,1.9733
2023-2024,R20,linguagem_preferida,Java,4,3750,0.1067
2023-2024,R20,linguagem_preferida,Elixir,1,3750,0.0267
2024-2025,R20,linguagem_preferida,Rust,25,3423,0.7304
2024-2025,R20,linguagem_preferida,PySpark,1,3423,0.0292
2024-2025,R20,linguagem_preferida,Sql,4,3423,0.1169
2024-2025,R20,linguagem_preferida,sql,3,3423,0.0876
2024-2025,R20,linguagem_preferida,Não sei,1,3423,0.0292
2024-2025,R20,linguagem_preferida,Spark,1,3423,0.0292
2024-2025,R20,linguagem_preferida,M/DAX,1,3423,0.0292
2024-2025,R20,linguagem_preferida,Engenharia de Prompt,1,3423,0.0292
2024-2025,R20,linguagem_preferida,R,186,3423,5.4338
2024-2025,R20,linguagem_preferida,C/C++/C#,20,3423,0.5843
2024-2025,R20,linguagem_preferida,Não trabalharia com linguagem de programação,1,3423,0.0292
2024-2025,R20,linguagem_preferida,Julia,8,3423,0.2337
2024-2025,R20,linguagem_preferida,Go,4,3423,0.1169
2024-2025,R20,linguagem_preferida,Pyspark,1,3423,0.0292
2024-2025,R20,linguagem_preferida,M e Dax,1,3423,0.0292
2024-2025,R20,linguagem_preferida,Databricks,1,3423,0.0292
2024-2025,R20,linguagem_preferida,Clojure,1,3423,0.0292
2024-2025,R20,linguagem_preferida,Matlab,1,3423,0.0292
2024-2025,R20,linguagem_preferida,LookML,1,3423,0.0292
2024-2025,R20,linguagem_preferida,No code,1,3423,0.0292
2024-2025,R20,linguagem_preferida,.,1,3423,0.0292
2024-2025,R20,linguagem_preferida,Python,3040,3423,88.811
2024-2025,R20,linguagem_preferida,Golang,4,3423,0.1169
2024-2025,R20,linguagem_preferida,PHP,1,3423,0.0292
2024-2025,R20,linguagem_preferida,Javascript,1,3423,0.0292
2024-2025,R20,linguagem_preferida,nenhum,1,3423,0.0292
2024-2025,R20,linguagem_preferida,SPSS,1,3423,0.0292
2024-2025,R20,linguagem_preferida,SQL,66,3423,1.9281
2024-2025,R20,linguagem_preferida,Scala,39,3423,1.1394
2024-2025,R20,linguagem_preferida,SAS,2,3423,0.0584
2024-2025,R20,linguagem_preferida,Qliksense,1,3423,0.0292
2024-2025,R20,linguagem_preferida,GO,2,3423,0.0584
2024-2025,R20,linguagem_preferida,sas,1,3423,0.0292
2025-2026,R20,linguagem_preferida,"Python, SQL, Scala",18,2095,0.8592
2025-2026,R20,linguagem_preferida,"SQL, R, Python",21,2095,1.0024
2025-2026,R20,linguagem_preferida,"Python, SQL, R",54,2095,2.5776
2025-2026,R20,linguagem_preferida,"Python, R, SQL, Julia",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, Rust",4,2095,0.1909
2025-2026,R20,linguagem_preferida,"Python, R, SQL",44,2095,2.1002
2025-2026,R20,linguagem_preferida,"Python, Scala, SQL",14,2095,0.6683
2025-2026,R20,linguagem_preferida,"R, SQL",12,2095,0.5728
2025-2026,R20,linguagem_preferida,"SQL, Python, Pyspark",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"Python, SQL, C/C++/C#",9,2095,0.4296
2025-2026,R20,linguagem_preferida,"Python, Rust, SQL",3,2095,0.1432
2025-2026,R20,linguagem_preferida,"Python, Rust, SQL, Scala",1,2095,0.0477
2025-2026,R20,linguagem_preferida,Não conheço isso,1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, SQL, Javascript",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, SQL, Pyspark",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"Python, C/C++/C#",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"Python, Pyspark",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, Python, Java",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, Rust, R, SQL, Julia",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, SQL, R, C/C++/C#",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"Python, Java",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"Python, Julia, R",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, R, Julia",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"R, SQL, Python, C/C++/C#",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Scala, SQL",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, SQL, PHP",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, SQL, Scala, Rust",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Julia, SQL, Python, C/C++/C#",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, Elixir",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, SQL, M",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, Python, M",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"C/C++/C#, SQL, Python, Java",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Julia, R",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, SQL, VBA",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, Python, DAX",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"Python, Scala",4,2095,0.1909
2025-2026,R20,linguagem_preferida,"R, Python, SQL",37,2095,1.7661
2025-2026,R20,linguagem_preferida,"SQL, Python, R",45,2095,2.148
2025-2026,R20,linguagem_preferida,"Python, SQL, R, Rust",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"SQL, Python, QUALQUER UMA",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Scala, Python, SQL",5,2095,0.2387
2025-2026,R20,linguagem_preferida,"Python, SQL, Golang",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"SQL, Python, Scala",8,2095,0.3819
2025-2026,R20,linguagem_preferida,"Python, SQL, PySpark",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"Python, SQL, Dax",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, Python, R, Scala",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, SQL, Rust",7,2095,0.3341
2025-2026,R20,linguagem_preferida,"Python, SQL, C/C++/C#, R",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"Rust, Python, SQL",1,2095,0.0477
2025-2026,R20,linguagem_preferida,DAX,1,2095,0.0477
2025-2026,R20,linguagem_preferida,Rust,1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, Python, Scala, R, Bash",1,2095,0.0477
2025-2026,R20,linguagem_preferida,Não utilizo na minha função atual,1,2095,0.0477
2025-2026,R20,linguagem_preferida,"R, SQL, C/C++/C#, Python",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, Python, Spark",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, Scala, Python",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, C/C++/C#, Julia, SQL",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, SQL, Go",3,2095,0.1432
2025-2026,R20,linguagem_preferida,"Python, spark",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, C/C++/C#, Python",3,2095,0.1432
2025-2026,R20,linguagem_preferida,"SQL, Python, C/C++/C#, JavaScript",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, Python, Linguagem M, DAX",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, SQL, Matlab",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, SQL, C/C++/C#, Scala",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, SQL, Java",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, Python, Oracle data integration",1,2095,0.0477
2025-2026,R20,linguagem_preferida,SQL,109,2095,5.2029
2025-2026,R20,linguagem_preferida,Python,254,2095,12.1241
2025-2026,R20,linguagem_preferida,"SQL, Python, Julia",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, C/C++/C#, SQL, R",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"R, Python",8,2095,0.3819
2025-2026,R20,linguagem_preferida,"R, SQL, Python",13,2095,0.6205
2025-2026,R20,linguagem_preferida,"SQL, Scala, R, Python",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, Python, Rust",3,2095,0.1432
2025-2026,R20,linguagem_preferida,"SQL, R",7,2095,0.3341
2025-2026,R20,linguagem_preferida,"Python, SQL, R, Polaris",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, Python, PySpark",5,2095,0.2387
2025-2026,R20,linguagem_preferida,"Python, SQL, Spark",4,2095,0.1909
2025-2026,R20,linguagem_preferida,"Scala, Python, SQL, Rust",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, C/C++/C#, R",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, C/C++/C#, SQL",3,2095,0.1432
2025-2026,R20,linguagem_preferida,"Python, Julia, SQL, C/C++/C#",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, Shellscript",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Rust, Python",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"SQL, Python, JavaScript",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, Rust, Mojo",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"C/C++/C#, Python, Dax, Pyspark",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"C/C++/C#, SQL, Progress",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"C/C++/C#, SQL, R, Python",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, SQL, DAX",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"Python, R, C/C++/C#",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, R, Julia",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, Power Query",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, Type Script",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, R, Scala",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, Python, Power BI",1,2095,0.0477
2025-2026,R20,linguagem_preferida,YAML,1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, Javascript",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, SQL, Scala, Golang, Kotli",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Rust, SQL, Python",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, SQL",735,2095,35.0835
2025-2026,R20,linguagem_preferida,"SQL, Python",506,2095,24.1527
2025-2026,R20,linguagem_preferida,"Python, SQL, Scala, Spark",1,2095,0.0477
2025-2026,R20,linguagem_preferida,R,15,2095,0.716
2025-2026,R20,linguagem_preferida,html,1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, R, SAS",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"R, Python, Nextflow",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, Excel e Power BI",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, C/C++/C#, Julia, Rust",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Scala, Python, Rust, SQL",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, R",10,2095,0.4773
2025-2026,R20,linguagem_preferida,ecl,1,2095,0.0477
2025-2026,R20,linguagem_preferida,"C/C++/C#, Python, SQL",3,2095,0.1432
2025-2026,R20,linguagem_preferida,"SQL, Scala, Python, Rust",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, dax, M",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, Python, Dax",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"Python, SQL, Julia",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"C/C++/C#, Python",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"Python, Scala, Rust",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, Julia, SQL",3,2095,0.1432
2025-2026,R20,linguagem_preferida,"Python, R, SQL, Rust",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"SQL, Python, C/C++/C#",3,2095,0.1432
2025-2026,R20,linguagem_preferida,"SQL, C/C++/C#",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"SQL, DAX",2,2095,0.0955
2025-2026,R20,linguagem_preferida,"Python, Scala, C/C++/C#, SQL, Rust",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, Spark",1,2095,0.0477
2025-2026,R20,linguagem_preferida,"Python, SQL, Bigquery",1,2095,0.0477
