edicao,pergunta_enunciado,dimensao,categoria,respondentes,total_validos,participacao_pct
2023-2024,R20,bi_preferida,Ferramenta proprietária,1,3772,0.0265
2023-2024,R20,bi_preferida,Microsoft PowerBI,2370,3772,62.8314
2023-2024,R20,bi_preferida,Looker,335,3772,8.8812
2023-2024,R20,bi_preferida,Metabase,169,3772,4.4804
2023-2024,R20,bi_preferida,Sigma,1,3772,0.0265
2023-2024,R20,bi_preferida,nenhum,2,3772,0.053
2023-2024,R20,bi_preferida,Dash,2,3772,0.053
2023-2024,R20,bi_preferida,Databricks,7,3772,0.1856
2023-2024,R20,bi_preferida,Alteryx,6,3772,0.1591
2023-2024,R20,bi_preferida,MicroStrategy,1,3772,0.0265
2023-2024,R20,bi_preferida,não sei,1,3772,0.0265
2023-2024,R20,bi_preferida,Custom,1,3772,0.0265
2023-2024,R20,bi_preferida,Databricks Dashboards,1,3772,0.0265
2023-2024,R20,bi_preferida,não tenho preferência,1,3772,0.0265
2023-2024,R20,bi_preferida,Webapps Python (Streamlit),1,3772,0.0265
2023-2024,R20,bi_preferida,Tibco spotfire,1,3772,0.0265
2023-2024,R20,bi_preferida,R shiny,1,3772,0.0265
2023-2024,R20,bi_preferida,Nenhum,1,3772,0.0265
2023-2024,R20,bi_preferida,Não utilizo,2,3772,0.053
2023-2024,R20,bi_preferida,Looker studio,1,3772,0.0265
2023-2024,R20,bi_preferida,não sou do bi,1,3772,0.0265
2023-2024,R20,bi_preferida,Dashboards customizadas em Python,1,3772,0.0265
2023-2024,R20,bi_preferida,Celonis,1,3772,0.0265
2023-2024,R20,bi_preferida,Google Looker Studio,1,3772,0.0265
2023-2024,R20,bi_preferida,Grafana,6,3772,0.1591
2023-2024,R20,bi_preferida,Superset,10,3772,0.2651
2023-2024,R20,bi_preferida,Gaio,1,3772,0.0265
2023-2024,R20,bi_preferida,Plotly,1,3772,0.0265
2023-2024,R20,bi_preferida,Google,1,3772,0.0265
2023-2024,R20,bi_preferida,Sem preferência,3,3772,0.0795
2023-2024,R20,bi_preferida,Não tenho preferência,2,3772,0.053
2023-2024,R20,bi_preferida,Dash Plotly,1,3772,0.0265
2023-2024,R20,bi_preferida,Plotly Dash,1,3772,0.0265
2023-2024,R20,bi_preferida,Redash,2,3772,0.053
2023-2024,R20,bi_preferida,Spreadsheet,1,3772,0.0265
2023-2024,R20,bi_preferida,Dashboards próprios via webpage,1,3772,0.0265
2023-2024,R20,bi_preferida,More,1,3772,0.0265
2023-2024,R20,bi_preferida,nao consigo responder,1,3772,0.0265
2023-2024,R20,bi_preferida,.,3,3772,0.0795
2023-2024,R20,bi_preferida,Python,2,3772,0.053
2023-2024,R20,bi_preferida,Não gosto da parte de visualização,1,3772,0.0265
2023-2024,R20,bi_preferida,nao sei,1,3772,0.0265
2023-2024,R20,bi_preferida,"Sendo sincero, nenhum",1,3772,0.0265
2023-2024,R20,bi_preferida,"Apache Superset, que faltou na última lista inclusive não entendi pq",1,3772,0.0265
2023-2024,R20,bi_preferida,R Shiny,1,3772,0.0265
2023-2024,R20,bi_preferida,Não uso,1,3772,0.0265
2023-2024,R20,bi_preferida,Excel,4,3772,0.106
2023-2024,R20,bi_preferida,Amazon Quicksight,107,3772,2.8367
2023-2024,R20,bi_preferida,Nenhuma,5,3772,0.1326
2023-2024,R20,bi_preferida,Não uso ferramenta de BI,1,3772,0.0265
2023-2024,R20,bi_preferida,Python Dash,1,3772,0.0265
2023-2024,R20,bi_preferida,Tanto faz,2,3772,0.053
2023-2024,R20,bi_preferida,Graphana,1,3772,0.0265
2023-2024,R20,bi_preferida,Trame,1,3772,0.0265
2023-2024,R20,bi_preferida,Looker Studio,7,3772,0.1856
2023-2024,R20,bi_preferida,Não sei,5,3772,0.1326
2023-2024,R20,bi_preferida,Sql databricks,1,3772,0.0265
2023-2024,R20,bi_preferida,por ser consultoria varia muito,1,3772,0.0265
2023-2024,R20,bi_preferida,IBM Cognos,1,3772,0.0265
2023-2024,R20,bi_preferida,DataBricks,1,3772,0.0265
2023-2024,R20,bi_preferida,NA,3,3772,0.0795
2023-2024,R20,bi_preferida,Desenvolvimento Proprio,1,3772,0.0265
2023-2024,R20,bi_preferida,Solução própria,1,3772,0.0265
2023-2024,R20,bi_preferida,N/A,1,3772,0.0265
2023-2024,R20,bi_preferida,Databricks SQL,3,3772,0.0795
2023-2024,R20,bi_preferida,"Não quero trabalhar com dataviz, quero focar na parte mais técnica de Data Engineering direcionando para Data Architecture",1,3772,0.0265
2023-2024,R20,bi_preferida,Sigma Computing,1,3772,0.0265
2023-2024,R20,bi_preferida,nao trabalho com bi,1,3772,0.0265
2023-2024,R20,bi_preferida,não sou capaz de opinar,1,3772,0.0265
2023-2024,R20,bi_preferida,Microstrategy,2,3772,0.053
2023-2024,R20,bi_preferida,Não possuo opinião,1,3772,0.0265
2023-2024,R20,bi_preferida,Não usaria,1,3772,0.0265
2023-2024,R20,bi_preferida,Z,1,3772,0.0265
2023-2024,R20,bi_preferida,Não conheço as opções,1,3772,0.0265
2024-2025,R20,bi_preferida,Microsoft PowerBI,1704,3264,52.2059
2024-2025,R20,bi_preferida,Superset,9,3264,0.2757
2024-2025,R20,bi_preferida,Amazon Quicksight,67,3264,2.0527
2024-2025,R20,bi_preferida,MicroStrategy,1,3264,0.0306
2024-2025,R20,bi_preferida,Shiny (web framework),1,3264,0.0306
2024-2025,R20,bi_preferida,Thoughtspot,2,3264,0.0613
2024-2025,R20,bi_preferida,Observable Framework,1,3264,0.0306
2024-2025,R20,bi_preferida,Python dash,1,3264,0.0306
2024-2025,R20,bi_preferida,shiny,1,3264,0.0306
2024-2025,R20,bi_preferida,Databricks Business Intelligence,1,3264,0.0306
2024-2025,R20,bi_preferida,hex,1,3264,0.0306
2024-2025,R20,bi_preferida,Plotly Dash,1,3264,0.0306
2024-2025,R20,bi_preferida,HEX,1,3264,0.0306
2024-2025,R20,bi_preferida,Count,1,3264,0.0306
2024-2025,R20,bi_preferida,Tableau,406,3264,12.4387
2024-2025,R20,bi_preferida,DASH & PLOTLY,1,3264,0.0306
2024-2025,R20,bi_preferida,Qlik View/Qlik Sense,48,3264,1.4706
2024-2025,R20,bi_preferida,Hex,1,3264,0.0306
2024-2025,R20,bi_preferida,Looker Studio,2,3264,0.0613
2024-2025,R20,bi_preferida,Nenhuma,1,3264,0.0306
2024-2025,R20,bi_preferida,Alteryx,1,3264,0.0306
2024-2025,R20,bi_preferida,superset,2,3264,0.0613
2024-2025,R20,bi_preferida,Databricks,4,3264,0.1225
2024-2025,R20,bi_preferida,Sisense,1,3264,0.0306
2024-2025,R20,bi_preferida,Thoughspot,1,3264,0.0306
2024-2025,R20,bi_preferida,Jupyter,1,3264,0.0306
2024-2025,R20,bi_preferida,HorusBI,1,3264,0.0306
2024-2025,R20,bi_preferida,Grafana,1,3264,0.0306
2024-2025,R20,bi_preferida,Hex Tech,1,3264,0.0306
2024-2025,R20,bi_preferida,domo,1,3264,0.0306
2024-2025,R20,bi_preferida,Knime,1,3264,0.0306
2024-2025,R20,bi_preferida,Não tenho preferência / Não sei opinar,631,3264,19.3321
2024-2025,R20,bi_preferida,Metabase,125,3264,3.8297
2024-2025,R20,bi_preferida,Looker,202,3264,6.1887
2024-2025,R20,bi_preferida,Python,2,3264,0.0613
2024-2025,R20,bi_preferida,Apache Superset,2,3264,0.0613
2024-2025,R20,bi_preferida,T,1,3264,0.0306
2024-2025,R20,bi_preferida,Nenhuma/ Não uso,1,3264,0.0306
2024-2025,R20,bi_preferida,Cube.dev,1,3264,0.0306
2024-2025,R20,bi_preferida,redash,1,3264,0.0306
2024-2025,R20,bi_preferida,Zoho Analytics,1,3264,0.0306
2024-2025,R20,bi_preferida,Databricks com opção de BI,1,3264,0.0306
2024-2025,R20,bi_preferida,databricks,2,3264,0.0613
2024-2025,R20,bi_preferida,ChatGPT ou Vector Search,1,3264,0.0306
2024-2025,R20,bi_preferida,Markdown,1,3264,0.0306
2024-2025,R20,bi_preferida,DataStage,1,3264,0.0306
2024-2025,R20,bi_preferida,DATABRICKS,1,3264,0.0306
2024-2025,R20,bi_preferida,Solução própria,1,3264,0.0306
2024-2025,R20,bi_preferida,Shiny,4,3264,0.1225
2024-2025,R20,bi_preferida,Databricks SQL,1,3264,0.0306
2024-2025,R20,bi_preferida,ThoughtSpot,3,3264,0.0919
2024-2025,R20,bi_preferida,Streamlit,4,3264,0.1225
2024-2025,R20,bi_preferida,Dashboards em python com framework Dash,1,3264,0.0306
2024-2025,R20,bi_preferida,"Self-service, não gosto de trabalhar com visualização",1,3264,0.0306
2024-2025,R20,bi_preferida,pentaho,1,3264,0.0306
2024-2025,R20,bi_preferida,TS,1,3264,0.0306
2024-2025,R20,bi_preferida,SAS,1,3264,0.0306
2024-2025,R20,bi_preferida,Sigma,1,3264,0.0306
2024-2025,R20,bi_preferida,Databricks Dashboard,1,3264,0.0306
2024-2025,R20,bi_preferida,Plotly,1,3264,0.0306
2024-2025,R20,bi_preferida,ORACLE OBIEE,1,3264,0.0306
2024-2025,R20,bi_preferida,Spotfire,1,3264,0.0306
2024-2025,R20,bi_preferida,Databricks Dashboards,1,3264,0.0306
2025-2026,R20,bi_preferida,Não tenho preferência / Não sei opinar,429,1866,22.9904
2025-2026,R20,bi_preferida,Databricks,8,1866,0.4287
2025-2026,R20,bi_preferida,Dataiku,1,1866,0.0536
2025-2026,R20,bi_preferida,Apache Hop,1,1866,0.0536
2025-2026,R20,bi_preferida,Nenhuma,1,1866,0.0536
2025-2026,R20,bi_preferida,Ferramenta proprietária da empresa funciona melhor e mais integrada,1,1866,0.0536
2025-2026,R20,bi_preferida,Superset,6,1866,0.3215
2025-2026,R20,bi_preferida,Amazon Quicksight,55,1866,2.9475
2025-2026,R20,bi_preferida,Observable,1,1866,0.0536
2025-2026,R20,bi_preferida,Própria da empresa,1,1866,0.0536
2025-2026,R20,bi_preferida,Plotly Dash,2,1866,0.1072
2025-2026,R20,bi_preferida,Microsoft PowerBI,942,1866,50.4823
2025-2026,R20,bi_preferida,Looker,119,1866,6.3773
2025-2026,R20,bi_preferida,Google Analytics,1,1866,0.0536
2025-2026,R20,bi_preferida,Metabase,76,1866,4.0729
